station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KJAN,2011-04-27 18:00:00,9,991.0,91.0,27.8,21.8,170.0,10,0.0,0.0
KJAN,2011-04-27 18:00:00,4,1000.0,8.0,M,M,M,M,M,M
KJAN,2011-04-27 18:00:00,5,988.0,118.0,27.2,22.2,M,M,M,M
KJAN,2011-04-27 18:00:00,6,967.2,304.0,M,M,205.0,39,6.0,0.0
KJAN,2011-04-27 18:00:00,5,960.0,369.0,24.8,20.1,M,M,M,M
KJAN,2011-04-27 18:00:00,6,933.7,609.0,M,M,200.0,40,17.0,0.0
KJAN,2011-04-27 18:00:00,5,929.0,653.0,22.0,20.4,M,M,M,M
KJAN,2011-04-27 18:00:00,4,925.0,695.0,21.8,20.3,200.0,42,17.0,1.0
KJAN,2011-04-27 18:00:00,6,901.6,914.0,M,M,200.0,42,18.0,1.0
KJAN,2011-04-27 18:00:00,5,884.0,1083.0,18.6,18.2,M,M,M,M
KJAN,2011-04-27 18:00:00,5,883.0,1093.0,19.2,18.1,M,M,M,M
KJAN,2011-04-27 18:00:00,6,870.1,1219.0,M,M,215.0,54,21.0,2.0
KJAN,2011-04-27 18:00:00,5,867.0,1249.0,18.4,16.1,M,M,M,M
KJAN,2011-04-27 18:00:00,5,852.0,1397.0,17.0,15.9,M,M,M,M
KJAN,2011-04-27 18:00:00,4,850.0,1426.0,16.8,15.3,220.0,54,24.0,3.0
KJAN,2011-04-27 18:00:00,6,840.1,1524.0,M,M,220.0,56,25.0,3.0
KJAN,2011-04-27 18:00:00,6,810.3,1828.0,M,M,225.0,55,29.0,4.0
KJAN,2011-04-27 18:00:00,5,809.0,1842.0,14.2,11.7,M,M,M,M
KJAN,2011-04-27 18:00:00,5,798.0,1957.0,13.2,11.8,M,M,M,M
KJAN,2011-04-27 18:00:00,5,795.0,1988.0,12.8,10.3,M,M,M,M
KJAN,2011-04-27 18:00:00,6,781.3,2133.0,M,M,225.0,58,32.0,5.0
KJAN,2011-04-27 18:00:00,5,780.0,2147.0,13.6,8.7,M,M,M,M
KJAN,2011-04-27 18:00:00,5,770.0,2255.0,13.2,7.2,M,M,M,M
KJAN,2011-04-27 18:00:00,6,753.4,2438.0,M,M,225.0,58,34.0,6.0
KJAN,2011-04-27 18:00:00,6,726.6,2743.0,M,M,225.0,57,35.0,7.0
KJAN,2011-04-27 18:00:00,4,700.0,3056.0,7.0,2.0,230.0,57,37.0,8.0
KJAN,2011-04-27 18:00:00,5,684.0,3245.0,5.2,1.1,M,M,M,M
KJAN,2011-04-27 18:00:00,5,668.0,3438.0,5.6,-2.4,M,M,M,M
KJAN,2011-04-27 18:00:00,5,665.0,3476.0,6.4,-4.6,M,M,M,M
KJAN,2011-04-27 18:00:00,5,662.0,3512.0,6.4,-5.6,M,M,M,M
KJAN,2011-04-27 18:00:00,6,650.3,3657.0,M,M,230.0,68,39.0,10.0
KJAN,2011-04-27 18:00:00,5,636.0,3838.0,3.8,-7.2,M,M,M,M
KJAN,2011-04-27 18:00:00,5,624.0,3992.0,2.6,-11.4,M,M,M,M
KJAN,2011-04-27 18:00:00,6,602.8,4267.0,M,M,230.0,73,41.0,12.0
KJAN,2011-04-27 18:00:00,5,581.0,4561.0,-2.9,-13.9,M,M,M,M
KJAN,2011-04-27 18:00:00,5,574.0,4657.0,-3.3,-16.3,M,M,M,M
KJAN,2011-04-27 18:00:00,6,558.2,4876.0,M,M,240.0,68,43.0,14.0
KJAN,2011-04-27 18:00:00,5,558.0,4879.0,-5.5,-16.5,M,M,M,M
KJAN,2011-04-27 18:00:00,5,543.0,5091.0,-7.1,-20.1,M,M,M,M
KJAN,2011-04-27 18:00:00,5,524.0,5367.0,-7.7,-29.7,M,M,M,M
KJAN,2011-04-27 18:00:00,4,500.0,5740.0,-9.7,-33.7,250.0,74,47.0,18.0
KJAN,2011-04-27 18:00:00,5,496.0,5802.0,-9.9,-34.9,M,M,M,M
KJAN,2011-04-27 18:00:00,6,477.0,6096.0,M,M,250.0,75,49.0,19.0
KJAN,2011-04-27 18:00:00,4,400.0,7420.0,-22.7,-46.7,250.0,80,53.0,24.0
KJAN,2011-04-27 18:00:00,6,389.0,7620.0,M,M,250.0,79,54.0,25.0
KJAN,2011-04-27 18:00:00,5,354.0,8300.0,-30.5,-55.5,M,M,M,M
KJAN,2011-04-27 18:00:00,6,313.5,9144.0,M,M,250.0,84,57.0,32.0
KJAN,2011-04-27 18:00:00,4,300.0,9450.0,-38.5,-60.5,255.0,85,58.0,33.0
KJAN,2011-04-27 18:00:00,6,262.0,10363.0,M,M,255.0,90,60.0,37.0
KJAN,2011-04-27 18:00:00,5,255.0,10545.0,-46.3,-64.3,M,M,M,M
