station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KABR,2022-12-16 12:00:00,9,956.0,397.0,-7.5,-9.1,310.0,20,0.0,0.0
KABR,2022-12-16 12:00:00,4,1000.0,48.0,M,M,M,M,M,M
KABR,2022-12-16 12:00:00,5,952.0,429.0,-8.1,-11.1,M,M,M,M
KABR,2022-12-16 12:00:00,5,944.0,494.0,-8.7,-11.5,M,M,M,M
KABR,2022-12-16 12:00:00,6,930.4,609.0,M,M,325.0,32,136.0,0.0
KABR,2022-12-16 12:00:00,4,925.0,655.0,-9.9,-12.4,330.0,33,139.0,0.0
KABR,2022-12-16 12:00:00,5,899.0,874.0,-10.5,-12.7,M,M,M,M
KABR,2022-12-16 12:00:00,6,894.3,914.0,M,M,345.0,46,149.0,0.0
KABR,2022-12-16 12:00:00,5,883.0,1012.0,-9.5,-11.3,M,M,M,M
KABR,2022-12-16 12:00:00,5,873.0,1100.0,-9.3,-11.3,M,M,M,M
KABR,2022-12-16 12:00:00,6,859.7,1219.0,M,M,355.0,32,158.0,1.0
KABR,2022-12-16 12:00:00,4,850.0,1307.0,-10.3,-12.3,350.0,31,159.0,1.0
KABR,2022-12-16 12:00:00,6,793.9,1828.0,M,M,350.0,19,162.0,2.0
KABR,2022-12-16 12:00:00,6,762.8,2133.0,M,M,345.0,17,162.0,2.0
KABR,2022-12-16 12:00:00,6,732.9,2438.0,M,M,340.0,22,162.0,3.0
KABR,2022-12-16 12:00:00,6,704.1,2743.0,M,M,345.0,22,162.0,3.0
KABR,2022-12-16 12:00:00,4,700.0,2788.0,-16.1,-18.5,350.0,22,162.0,3.0
KABR,2022-12-16 12:00:00,6,622.7,3657.0,M,M,350.0,25,164.0,4.0
KABR,2022-12-16 12:00:00,6,597.6,3962.0,M,M,345.0,31,164.0,5.0
KABR,2022-12-16 12:00:00,5,589.0,4070.0,-21.5,-25.9,M,M,M,M
KABR,2022-12-16 12:00:00,5,581.0,4171.0,-21.3,-24.1,M,M,M,M
KABR,2022-12-16 12:00:00,6,573.4,4267.0,M,M,360.0,30,165.0,5.0
KABR,2022-12-16 12:00:00,5,568.0,4337.0,-22.5,-25.9,M,M,M,M
KABR,2022-12-16 12:00:00,5,555.0,4506.0,-23.1,-25.8,M,M,M,M
KABR,2022-12-16 12:00:00,6,527.6,4876.0,M,M,10.0,37,168.0,6.0
KABR,2022-12-16 12:00:00,4,500.0,5270.0,-26.7,-31.4,360.0,37,170.0,7.0
KABR,2022-12-16 12:00:00,6,484.9,5486.0,M,M,360.0,38,170.0,7.0
KABR,2022-12-16 12:00:00,6,464.3,5791.0,M,M,360.0,37,171.0,8.0
KABR,2022-12-16 12:00:00,6,444.6,6096.0,M,M,360.0,39,172.0,9.0
KABR,2022-12-16 12:00:00,6,425.8,6400.0,M,M,360.0,40,172.0,9.0
KABR,2022-12-16 12:00:00,4,400.0,6840.0,-38.5,-44.5,355.0,42,173.0,10.0
KABR,2022-12-16 12:00:00,6,356.4,7620.0,M,M,360.0,45,173.0,12.0
KABR,2022-12-16 12:00:00,5,352.0,7704.0,-45.1,-54.1,M,M,M,M
KABR,2022-12-16 12:00:00,6,340.4,7924.0,M,M,5.0,43,174.0,13.0
KABR,2022-12-16 12:00:00,5,309.0,8558.0,-52.1,-58.1,M,M,M,M
KABR,2022-12-16 12:00:00,4,300.0,8760.0,-51.9,-58.9,350.0,40,174.0,15.0
KABR,2022-12-16 12:00:00,6,282.7,9144.0,M,M,350.0,39,174.0,16.0
KABR,2022-12-16 12:00:00,6,269.7,9448.0,M,M,360.0,46,174.0,16.0
KABR,2022-12-16 12:00:00,6,257.3,9753.0,M,M,5.0,40,174.0,17.0
KABR,2022-12-16 12:00:00,4,250.0,9940.0,-51.5,-60.5,350.0,31,174.0,18.0
KABR,2022-12-16 12:00:00,6,245.5,10058.0,M,M,355.0,31,174.0,18.0
KABR,2022-12-16 12:00:00,5,229.0,10511.0,-49.1,-60.1,M,M,M,M
KABR,2022-12-16 12:00:00,6,223.6,10668.0,M,M,345.0,29,174.0,19.0
KABR,2022-12-16 12:00:00,6,213.5,10972.0,M,M,330.0,32,173.0,19.0
KABR,2022-12-16 12:00:00,6,203.8,11277.0,M,M,345.0,28,173.0,20.0
KABR,2022-12-16 12:00:00,5,202.0,11334.0,-47.7,-61.7,M,M,M,M
KABR,2022-12-16 12:00:00,4,200.0,11400.0,-47.9,-61.9,340.0,18,173.0,20.0
